,city,cloud,country,date,humidity,lat,lon,temp_max,wind speed
125,Alofi,4,NU,1559418808,93,-19.06,-169.92,66.2,1.12
126,Alexandria,20,US,1559418652,43,31.31,-92.44,93.0,3.36
127,Avesta,64,SE,1559418876,93,60.15,16.18,55.4,6.93
128,Bartica,75,GY,1559418876,88,6.41,-58.62,80.6,6.93
129,Lebu,89,ET,1559418808,74,8.96,38.73,61.43,3.13
130,San Patricio,99,PY,1559418820,93,-26.98,-56.83,63.59,2.73
131,Barra Patuca,47,HN,1559418876,80,15.8,-84.28,85.19,20.0
132,Teya,75,MX,1559418877,74,21.05,-89.07,84.2,12.75
133,Constitucion,90,MX,1559418606,26,23.99,-104.67,82.4,5.82
134,Santa Isabel do Rio Negro,100,BR,1559418877,77,-0.41,-65.02,83.75,4.25
135,Parichhatgarh,0,IN,1559418877,29,28.98,77.93,92.75,11.16
136,Basco,40,US,1559418877,78,40.33,-91.2,86.0,4.7
137,Maceio,20,BR,1559418594,65,-9.67,-35.74,82.4,11.41
138,New Norfolk,20,AU,1559418806,87,-42.78,147.06,43.0,10.29
139,Muscat,0,OM,1559418878,15,23.6,58.55,96.8,1.12
140,Seydi,56,NE,1559418878,38,13.34,7.75,92.75,9.33
141,Comodoro Rivadavia,75,AR,1559418619,81,-45.87,-67.48,50.0,1.12
142,Sitka,98,US,1559418878,50,37.17,-99.65,82.0,5.01
143,Takanabe,100,JP,1559418878,98,32.13,131.49,61.43,2.64
144,Niquero,48,CU,1559418879,73,20.04,-77.58,84.29,12.21
145,Muroto,100,JP,1559418879,80,33.37,134.14,64.13,4.07
146,Namatanai,85,PG,1559418811,87,-3.66,152.44,79.07,12.19
147,Quatre Cocos,75,MU,1559418879,94,-20.21,57.76,75.2,6.93
148,Hasaki,75,JP,1559418805,100,35.73,140.83,63.0,2.24
149,Arraial do Cabo,20,BR,1559418581,78,-22.97,-42.02,78.8,9.17
150,Kodiak,1,US,1559418840,20,39.95,-94.76,89.01,10.29
151,Norman Wells,90,CA,1559418824,71,65.28,-126.83,51.8,6.42
